cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00004309,Herb Kohl (D-Wis),213610027,290679998,252145012,2008,S,Center for Responsive Politics,,1
N00007017,Darrell Issa (R-Calif),164650039,337400002,251025020,2008,H,Center for Responsive Politics,,2
N00006750,Jane Harman (D-Calif),112318335,377275000,244796667,2008,H,Center for Responsive Politics,,3
N00002097,Mark Warner (D-Va),73315204,346085992,209700598,2008,S,Center for Responsive Politics,,4
N00000245,John Kerry (D-Mass),158643501,258959049,208801275,2008,S,Center for Responsive Politics,,5
N00029127,Jared Polis (D-Colo),50737134,265609998,158173566,2008,H,Center for Responsive Politics,,6
N00027626,Vernon Buchanan (R-Fla),-68340597,353205982,142432692,2008,H,Center for Responsive Politics,,7
N00002315,Robin Hayes (R-NC),55633318,198097000,126865159,2008,H,Center for Responsive Politics,,8
N99999962,Henry M. Paulson,90808031,158895004,124851517,2008,E,Center for Responsive Politics,,9
N00001685,Jay Rockefeller (D-WVa),60196019,128416002,94306010,2008,S,Center for Responsive Politics,,10
N99999977,Samuel W. Bodman III,65303064,99670001,82486532,2008,E,Center for Responsive Politics,,11
N00000659,Frank R Lautenberg (D-NJ),47632169,101856020,74744094,2008,S,Center for Responsive Politics,,12
N00007364,Dianne Feinstein (D-Calif),42912257,101849018,72380637,2008,S,Center for Responsive Politics,,13
N00026460,Michael McCaul (R-Texas),38084496,101154000,69619248,2008,H,Center for Responsive Politics,,14
N99999961,Carlos Gutierrez,20761033,92965000,56863016,2008,E,Center for Responsive Politics,,15
N00028418,Alan Grayson (D-Fla),30938043,77963998,54451020,2008,H,Center for Responsive Politics,,16
N00004484,Jim Ramstad (R-Minn),18851027,89093000,53972013,2008,H,Center for Responsive Politics,,17
N00029441,James E Risch (R-Idaho),19037053,87629997,53333525,2008,S,Center for Responsive Politics,,18
N00027441,Bob Corker (R-Tenn),8293042,96397993,52345517,2008,S,Center for Responsive Politics,,19
N00029788,Cynthia Marie Lummis (R-Wyo),12970031,83606998,48288514,2008,H,Center for Responsive Politics,,20
N00007815,Gordon H. Smith (R-Ore),28413373,63144351,45778862,2008,S,Center for Responsive Politics,,21
N00000308,Edward M. Kennedy (D-Mass),15741036,74094000,44917518,2008,S,Center for Responsive Politics,,22
N00000684,Rodney Frelinghuysen (R-NJ),18154181,63642000,40898090,2008,H,Center for Responsive Politics,,23
N00029556,Harry Teague (D-NM),36275466,40275465,38275465,2008,H,Center for Responsive Politics,,24
N00000078,Carolyn B Maloney (D-NY),11497098,62004993,36751045,2008,H,Center for Responsive Politics,,25
N00006954,Gary Miller (R-Calif),13263051,60176000,36719525,2008,H,Center for Responsive Politics,,26
N00001024,Nita M Lowey (D-NY),13481096,54190060,33835578,2008,H,Center for Responsive Politics,,27
N00007360,Nancy Pelosi (D-Calif),-33223905,95980989,31378542,2008,H,Center for Responsive Politics,,28
N00004645,Denny Rehberg (R-Mont),6570014,56174997,31372505,2008,H,Center for Responsive Politics,,29
N00006237,Dick Cheney (R),11453021,50145000,30799010,2008,E,Center for Responsive Politics,,30
N00000480,Olympia J. Snowe (R-Maine),11605053,45480000,28542526,2008,S,Center for Responsive Politics,,31
N99999935,Susan E. Rice,14031153,41265001,27648077,2008,E,Center for Responsive Politics,,32
N00026710,Kenny Marchant (R-Texas),4977312,49774278,27375795,2008,H,Center for Responsive Politics,,33
